Id,Label,Latitude,Longitude
CN110000,CN110000,39.9985,116.411
CN120000,CN120000,39.194,117.309
CN130100,CN130100,38.17103448,114.6768966
CN130200,CN130200,39.72466667,118.33200000000001
CN130300,CN130300,39.94375,119.33375
CN130400,CN130400,36.5705,114.637
CN130500,CN130500,37.55333333,114.84166670000002
CN130600,CN130600,38.90961538,115.4226923
CN130700,CN130700,40.185,114.84727269999999
CN130800,CN130800,40.96833333,117.79916670000001
CN130900,CN130900,38.21388889,116.565
CN131000,CN131000,39.42,116.67727269999999
CN131100,CN131100,37.81666667,115.80833329999999
CN140100,CN140100,37.86727273,112.42818179999999
CN140200,CN140200,39.22625,113.466875
CN140300,CN140300,37.76454545,113.3509091
CN140400,CN140400,36.67944444,113.08833329999999
CN140500,CN140500,36.339,112.928
CN140600,CN140600,39.59,112.735
CN140700,CN140700,37.34666667,112.7525
CN140800,CN140800,35.24923077,111.07923079999999
CN140900,CN140900,38.84928571,112.36
CN141000,CN141000,36.18388889,111.38166670000001
CN141100,CN141100,37.55357143,111.36357140000001
CN150100,CN150100,40.641999999999996,111.559
CN150200,CN150200,40.78777778,110.0911111
CN150300,CN150300,39.575,106.8075
CN150400,CN150400,42.75615385,118.9807692
CN150500,CN150500,43.73111111,121.6111111
CN150600,CN150600,39.44333333,109.31333329999998
CN150700,CN150700,49.25692308,120.2792308
CN150800,CN150800,40.9,107.6875
CN150900,CN150900,41.10166667,113.04666670000002
CN152200,CN152200,46.08142857,121.69857140000002
CN152500,CN152500,43.31615385,115.1169231
CN152900,CN152900,39.7075,103.5225
CN210100,CN210100,41.864,123.292
CN210200,CN210200,39.13818182,121.8618182
CN210300,CN210300,41.09777778,122.95888889999999
CN210400,CN210400,41.88,124.18
CN210500,CN210500,41.27142857,124.0471429
CN210600,CN210600,40.22285714,124.36142859999998
CN210700,CN210700,41.26428571,121.31428570000001
CN210800,CN210800,40.57285714,122.2942857
CN210900,CN210900,42.04142857,121.7671429
CN211000,CN211000,41.25375,123.21875
CN211100,CN211100,41.13399999999999,122.056
CN211200,CN211200,42.49,124.0075
CN211300,CN211300,41.53857143,120.22857140000002
CN211400,CN211400,40.72428571,120.6042857
CN220100,CN220100,44.06545455,125.5272727
CN220200,CN220200,43.701,126.635
CN220300,CN220300,43.31142857,124.43285709999999
CN220400,CN220400,42.86,125.186
CN220500,CN220500,41.94,125.91
CN220600,CN220600,41.96833333,127.0
CN220700,CN220700,44.916000000000004,124.728
CN220800,CN220800,45.45666667,123.17
CN222400,CN222400,42.96777778,129.38888889999998
CN230100,CN230100,45.72333333,127.37222220000001
CN230200,CN230200,47.54600000000001,124.41266670000002
CN230300,CN230300,45.335,131.183
CN230400,CN230400,47.291000000000004,130.493
CN230500,CN230500,46.62222222,131.7033333
CN230600,CN230600,46.406000000000006,124.93700000000001
CN230700,CN230700,47.83588235,129.1682353
CN230800,CN230800,47.05333333,131.0075
CN230900,CN230900,45.773999999999994,130.878
CN231000,CN231000,40.3645,123.552
CN231100,CN231100,49.375,127.245
CN231200,CN231200,46.75363636,126.5109091
CN232700,CN232700,51.86,124.5
CN310000,CN310000,31.1995,121.427
CN320100,CN320100,32.13866667,118.696
CN320200,CN320200,31.6,120.2411111
CN320300,CN320300,34.16,117.4661538
CN320400,CN320400,31.72,119.85125
CN320500,CN320500,31.39166667,120.69
CN320600,CN320600,32.12,120.95777779999999
CN320700,CN320700,34.5325,119.17125
CN320800,CN320800,33.44777778,118.9811111
CN320900,CN320900,33.534,120.045
CN321000,CN321000,32.53625,119.38625
CN321100,CN321100,32.13,119.47571429999999
CN321200,CN321200,32.416,120.042
CN321300,CN321300,33.86833333,118.42
CN330100,CN330100,30.11571429,119.955
CN330200,CN330200,29.81833333,121.53333329999998
CN330300,CN330300,27.85090909,120.5772727
CN330400,CN330400,30.68,120.79857140000001
CN330500,CN330500,30.805,120.03
CN330600,CN330600,29.84428571,120.6328571
CN330700,CN330700,29.134,119.891
CN330800,CN330800,28.95,118.77142859999998
CN330900,CN330900,30.19,122.25
CN331000,CN331000,28.706,121.23700000000001
CN331100,CN331100,28.255,119.632
CN340100,CN340100,31.91375,117.2725
CN340181,CN340181,31.53166667,117.89833329999999
CN340200,CN340200,31.2,118.37166670000002
CN340300,CN340300,33.02,117.39625
CN340400,CN340400,32.66285714,116.8957143
CN340500,CN340500,31.676,118.488
CN340600,CN340600,33.944,116.79799999999999
CN340700,CN340700,30.936,117.81
CN340800,CN340800,30.59416667,116.82333329999999
CN341000,CN341000,29.87625,118.1725
CN341100,CN341100,32.48333333,118.20444440000001
CN341200,CN341200,32.89125,115.74875
CN341300,CN341300,33.815,117.11
CN341500,CN341500,31.85125,116.46375
CN341600,CN341600,33.534,116.10799999999999
CN341700,CN341700,30.458000000000002,117.462
CN341800,CN341800,30.70125,118.825
CN350100,CN350100,26.035,119.3328571
CN350200,CN350200,24.54857143,118.1
CN350300,CN350300,25.405,118.98
CN350400,CN350400,26.33076923,117.39769229999999
CN350500,CN350500,24.97384615,118.5276923
CN350600,CN350600,24.33666667,117.52916670000002
CN350700,CN350700,27.27,118.1436364
CN350800,CN350800,25.24,116.72875
CN350900,CN350900,26.995,119.537
CN360100,CN360100,28.653000000000002,115.87899999999999
CN360200,CN360200,29.236,117.182
CN360300,CN360300,27.595,113.87166670000002
CN360400,CN360400,29.49384615,115.82538459999999
CN360500,CN360500,27.81333333,114.84
CN360600,CN360600,28.245,117.04
CN360700,CN360700,25.61052632,115.15842109999998
CN360800,CN360800,27.06928571,114.8892857
CN360900,CN360900,28.28363636,114.97
CN361000,CN361000,27.62333333,116.47166670000001
CN361100,CN361100,28.62769231,117.6030769
CN370100,CN370100,36.47076923,117.0207692
CN370200,CN370200,36.23153846,120.3
CN370300,CN370300,36.76,118.02125
CN370400,CN370400,35.11555556,117.29222220000001
CN370500,CN370500,37.485,118.48333329999998
CN370600,CN370600,37.41230769,120.9307692
CN370700,CN370700,36.61846154,119.08153850000001
CN370800,CN370800,35.45333333,116.75533329999999
CN370900,CN370900,36.05142857,117.0028571
CN371000,CN371000,37.262,122.04799999999999
CN371100,CN371100,35.454,119.266
CN371200,CN371200,36.16333333,117.70666670000001
CN371300,CN371300,35.19769231,118.29692309999999
CN371400,CN371400,37.30333333,116.60916670000002
CN371500,CN371500,36.48444444,115.9188889
CN371600,CN371600,37.41625,117.83
CN410100,CN410100,34.70153846,113.5046154
CN410200,CN410200,34.69111111,114.4477778
CN410300,CN410300,34.52266667,112.30466670000001
CN410400,CN410400,33.77545455,113.1690909
CN410500,CN410500,36.014,114.36399999999999
CN410600,CN410600,35.76666667,114.2766667
CN410700,CN410700,35.26076923,114.0023077
CN410800,CN410800,35.13916667,113.12166670000002
CN410900,CN410900,35.87142857,115.2557143
CN411000,CN411000,34.05714286,113.77428570000001
CN411100,CN411100,33.596,113.92399999999999
CN411200,CN411200,34.62142857,111.28857140000001
CN411300,CN411300,32.97,112.4042857
CN411400,CN411400,34.345,115.61399999999999
CN411500,CN411500,32.09909091,114.7981818
CN411600,CN411600,33.719,114.854
CN411700,CN411700,32.96272727,114.18545449999999
CN420100,CN420100,30.58642857,114.29642859999998
CN420200,CN420200,30.13714286,115.0371429
CN420300,CN420300,32.54444444,110.64666670000001
CN420500,CN420500,30.68714286,111.2942857
CN420601,CN420601,32.031,112.00299999999999
CN420700,CN420700,30.3525,114.79
CN420800,CN420800,30.99166667,112.47666670000001
CN420900,CN420900,31.07,113.845
CN421000,CN421000,30.07,112.42333329999998
CN421100,CN421100,30.55545455,115.2290909
CN421200,CN421200,29.68857143,114.11
CN421300,CN421300,31.68666667,113.52
CN422800,CN422800,30.18111111,109.55444440000001
CN429004,CN429004,30.8025,112.5425
CN430100,CN430100,28.215999999999998,112.995
CN430200,CN430200,27.49,113.291
CN430300,CN430300,27.835,112.79666670000002
CN430400,CN430400,26.87384615,112.61
CN430500,CN430500,26.98538462,111.0661538
CN430600,CN430600,29.199,113.12200000000001
CN430700,CN430700,29.26,111.73200000000001
CN430800,CN430800,29.285999999999998,110.55
CN430900,CN430900,28.70571429,112.16142859999998
CN431000,CN431000,25.8175,113.07333329999999
CN431100,CN431100,25.88090909,111.7109091
CN431200,CN431200,27.41692308,109.89769229999999
CN431300,CN431300,27.67333333,111.76666670000002
CN433100,CN433100,28.57777778,109.73777779999999
CN440100,CN440100,23.18909091,113.37
CN440200,CN440200,24.78,113.76727269999999
CN440300,CN440300,22.57142857,114.07571429999999
CN440400,CN440400,22.2075,113.45
CN440500,CN440500,23.35857143,116.7028571
CN440600,CN440600,22.984,113.064
CN440700,CN440700,22.43833333,112.805
CN440800,CN440800,21.191999999999997,110.345
CN440900,CN440900,21.74428571,110.89857140000001
CN441200,CN441200,23.30666667,112.2811111
CN441300,CN441300,23.14833333,114.42333329999998
CN441400,CN441400,24.25777778,116.08
CN441500,CN441500,23.0,115.5
CN441600,CN441600,23.97571429,114.85857140000002
CN441700,CN441700,21.91,111.87
CN441800,CN441800,24.19333333,112.81444440000001
CN441900,CN441900,23.05,113.75
CN442000,CN442000,22.52,113.38
CN445100,CN445100,23.6175,116.7325
CN445200,CN445200,23.375999999999998,116.21600000000001
CN445300,CN445300,22.93833333,111.89833329999999
CN450100,CN450100,23.01833333,108.41
CN450200,CN450200,24.77,109.4175
CN450300,CN450300,25.33416667,110.52
CN450400,CN450400,23.48,110.984
CN450500,CN450500,21.56,109.25
CN450600,CN450600,21.76,108.204
CN450700,CN450700,22.1575,109.025
CN450800,CN450800,23.295,109.87
CN450900,CN450900,22.59666667,110.19666670000001
CN451000,CN451000,23.9275,106.4075
CN451100,CN451100,24.4875,111.23
CN451200,CN451200,24.53083333,107.86583329999999
CN451300,CN451300,23.88666667,109.38333329999999
CN451400,CN451400,22.50571429,107.18142859999999
CN460100,CN460100,20.022000000000002,110.324
CN460200,CN460200,18.25,109.5
CN469001,CN469001,19.194375,109.795
CN500000,CN500000,29.90513514,107.38027029999999
CN510100,CN510100,30.675,103.932
CN510300,CN510300,29.33428571,104.75857140000001
CN510400,CN510400,26.635,101.7866667
CN510500,CN510500,28.70125,105.5175
CN510600,CN510600,31.15285714,104.37
CN510700,CN510700,31.590999999999998,104.814
CN510800,CN510800,31.70777778,105.49555559999999
CN510900,CN510900,30.60333333,105.49
CN511000,CN511000,29.57,104.82
CN511100,CN511100,29.38615385,103.75615379999999
CN511300,CN511300,31.038,106.15299999999999
CN511400,CN511400,30.01,103.77428570000001
CN511500,CN511500,28.59818182,104.7345455
CN511600,CN511600,30.416,106.60799999999999
CN511700,CN511700,31.2125,107.53375
CN511800,CN511800,29.89,102.83111109999999
CN511900,CN511900,31.908,106.94
CN512000,CN512000,30.204,104.84
CN513200,CN513200,32.17071429,102.7478571
CN513300,CN513300,30.51842105,100.38210529999999
CN513400,CN513400,27.82444444,102.5072222
CN520100,CN520100,26.723000000000003,106.69200000000001
CN520200,CN520200,26.338,104.912
CN520300,CN520300,28.024,107.06133329999999
CN520400,CN520400,26.14428571,105.90571429999999
CN520500,CN520500,27.10375,105.535
CN520600,CN520600,27.85,108.73
CN522300,CN522300,25.34625,105.41125
CN522600,CN522600,26.60470588,108.41470590000002
CN522700,CN522700,26.15307692,107.2815385
CN530100,CN530100,25.14066667,102.8193333
CN530300,CN530300,25.51,103.86
CN530400,CN530400,24.3175,102.55625
CN530500,CN530500,24.90166667,99.05
CN530600,CN530600,27.75333333,103.9975
CN530700,CN530700,26.86166667,100.5933333
CN530800,CN530800,23.19,100.7683333
CN530900,CN530900,23.915,99.6175
CN532300,CN532300,25.36,101.6463636
CN532500,CN532500,23.47692308,103.1576923
CN532600,CN532600,23.52,104.6077778
CN532800,CN532800,21.8725,100.905
CN532900,CN532900,25.72153846,100.13615379999999
