city_code,city,risk,cases,name,risk_interval_100
441900,东莞市,4.071770942,89.4466802,Dongguan,"89(72, 133)"
310000,上海市,3.984609231,87.59818532,Shanghai,"88(70, 130)"
440300,深圳市,3.236506607,71.73268822,Shenzhen,"72(58, 106)"
140700,晋中市,2.539486989,56.95054154,Jinzhong,"57(46, 83)"
430100,长沙市,2.267708051,51.18674951,Changsha,"51(42, 75)"
420100,武汉市,1.763103822,40.48528065,Wuhan,"40(33, 58)"
110000,北京市,1.586507486,36.74008773,Beijing,"37(30, 53)"
440100,广州市,1.342730041,31.57014149,Guangzhou,"32(26, 45)"
320500,苏州市,1.339663031,31.50509743,Suzhou,"32(26, 45)"
440600,佛山市,0.582863389,15.45515705,Foshan,"15(13, 21)"
440400,珠海市,0.426725469,12.14383901,Zhuhai,"12(11, 15)"
350200,厦门市,0.321160502,9.90505434,Xiamen,"10(9, 12)"
340100,合肥市,0.273403418,8.892238921,Hefei,"9(8, 11)"
429021,神农架林区,0.225279199,7.871637415,Shennongjia,"8(7, 9)"
530100,昆明市,0.204967632,7.440876863,Kunming,"7(7, 9)"
640100,银川市,0.190834924,7.14115537,Yinchuan,"7(6, 8)"
410100,郑州市,0.150955325,6.29540288,Zhengzhou,"6(6, 7)"
370200,青岛市,0.148680133,6.247151399,Qingdao,"6(5, 7)"
330200,宁波市,0.117499674,5.585887201,Ningbo,"6(5, 7)"
330400,嘉兴市,0.085182094,4.900507351,Jiaxing,"5(4, 6)"
460100,海口市,0.081737157,4.827448325,Haikou,"5(4, 6)"
330700,金华市,0.077011713,4.727232772,Jinhua,"5(4, 6)"
622900,临夏回族自治州,0.076288655,4.711898418,Linxia,"5(4, 6)"
320100,南京市,0.075367373,4.692360193,Nanjing,"5(4, 6)"
442000,中山市,0.068254558,4.541514113,Zhongshan,"5(4, 6)"
620100,兰州市,0.058624999,4.337293819,Lanzhou,"4(3, 5)"
150600,鄂尔多斯市,0.056540031,4.29307656,Erdos,"4(3, 5)"
150100,呼和浩特市,0.052001163,4.196817845,Huhehaote,"4(3, 5)"
540300,昌都市,0.044317809,4.033871981,Changdu,"4(3, 5)"
340200,芜湖市,0.041107208,3.965782686,Wuhu,"4(3, 5)"
150300,乌海市,0.027359388,3.674223755,Wuhai,"4(2, 5)"
320400,常州市,0.027337123,3.673751554,Changzhou,"4(2, 5)"
150200,包头市,0.025458629,3.63391312,Baotou,"4(2, 5)"
820000,澳门,0.019072769,3.498484045,Aomen,"3(2, 5)"
540100,拉萨市,0.013837157,3.387449036,Lasa,"3(2, 4)"
632800,海西蒙古族藏族自治州,0.013192058,3.373768001,Haixi,"3(2, 4)"
513200,阿坝藏族羌族自治州,0.011826072,3.344798657,Aba,"3(2, 4)"
654200,塔城地区,0.006767068,3.237509073,Tacheng,"3(2, 4)"
652900,阿克苏地区,0.00639902,3.229703635,Aksu,"3(2, 4)"
540600,那曲市,0.005210387,3.204495539,Naqu,"3(2, 4)"
540200,日喀则市,0.004426424,3.187869515,Rikaze,"3(2, 4)"
540400,林芝市,0.00411649,3.181296557,Linzhi,"3(2, 4)"
513300,甘孜藏族自治州,0.003808877,3.174772811,Ganzi,"3(2, 4)"
650400,吐鲁番市,0.003018022,3.15800062,Tulufan,"3(2, 4)"
632200,海北藏族自治州,0.002434946,3.145634966,Haibei,"3(2, 4)"
533400,迪庆藏族自治州,0.00233405,3.143495189,Diqing,"3(2, 4)"
620200,嘉峪关市,0.001645044,3.128882995,Jiayuguan,"3(2, 4)"
632500,海南藏族自治州,0.001619248,3.128335921,Tibetan Hainan,"3(2, 4)"
632600,果洛藏族自治州,0.001272418,3.120980479,Guoluo,"3(2, 4)"
659004,五家渠市,0.000562375,3.10592214,Wujiaqu,"3(2, 4)"
632300,黄南藏族自治州,0.0005116,3.104845303,Huangnan,"3(2, 4)"
620900,酒泉市,0.000422242,3.102950237,Jiuquan,"3(2, 4)"
652700,博尔塔拉蒙古自治州,0.000380491,3.1020648,Bortala,"3(2, 4)"
623000,甘南藏族自治州,0.000256083,3.099426391,Gannan,"3(2, 4)"
659005,北屯市,0.000144675,3.097063698,Beitun,"3(2, 4)"
659002,阿拉尔市,0.000116113,3.096457965,Alaer,"3(2, 4)"
659007,双河市,9.88E-05,3.096090665,Shuanghe,"3(2, 4)"
542500,阿里地区,7.21E-05,3.095524807,Ali,"3(2, 4)"
653000,克孜勒苏柯尔克孜自治州,1.40E-05,3.094291923,Kizilsu Kirghiz,"3(2, 4)"
659009,昆玉市,-7.39E-06,3.093838853,Kunyu,"3(2, 4)"
659006,铁门关市,-7.11E-05,3.09248743,Tiemenguan,"3(2, 4)"
659003,图木舒克市,-0.000159149,3.090620312,Tumushuke,"3(2, 4)"
540500,山南市,-0.00032753,3.087049339,Shannan,"3(2, 4)"
152900,阿拉善盟,-0.000397959,3.085555712,Alxa,"3(2, 4)"
630200,海东市,-0.00044939,3.084464984,Haidong,"3(2, 4)"
533300,怒江傈僳族自治州,-0.000526404,3.082831681,Nujiang,"3(2, 4)"
469001,五指山市,-0.00065925,3.080014333,Wuzhishan,"3(2, 4)"
654300,阿勒泰地区,-0.000683767,3.079494398,Aletai,"3(2, 4)"
652800,巴音郭楞蒙古自治州,-0.001863869,3.054467209,Bayingol,"3(2, 4)"
460300,三沙市,-0.002609454,3.038655091,Sansha,"3(2, 4)"
659008,可克达拉市,-0.003146442,3.027266847,Kekedala,"3(2, 4)"
650500,哈密市,-0.003233647,3.025417425,Hami,"3(2, 4)"
653200,和田地区,-0.003317834,3.023632027,Hetian,"3(2, 4)"
632700,玉树藏族自治州,-0.003364408,3.022644291,Yushu,"3(2, 4)"
610600,延安市,-0.004681722,2.994707174,Yanan,"3(2, 4)"
650200,克拉玛依市,-0.005018488,2.987565154,Kelamayi,"3(2, 4)"
469025,白沙黎族自治县,-0.006278571,2.960841757,Baisha,"3(2, 4)"
653100,喀什地区,-0.006294241,2.96050943,Kashi,"3(2, 4)"
530800,普洱市,-0.007332875,2.938482443,Puer,"3(1, 4)"
530700,丽江市,-0.007714775,2.930383238,Lijiang,"3(1, 4)"
652300,昌吉回族自治州,-0.008477306,2.914211758,Changji,"3(1, 4)"
654000,伊犁哈萨克自治州,-0.008824249,2.906853919,Yili,"3(1, 4)"
620300,金昌市,-0.009663009,2.889065794,Jinchang,"3(1, 4)"
533100,德宏傣族景颇族自治州,-0.009719979,2.887857597,Dehong,"3(1, 4)"
530900,临沧市,-0.011156415,2.857394153,Lincang,"3(1, 4)"
152200,兴安盟,-0.012899125,2.820435384,Hinggan,"3(1, 4)"
610200,铜川市,-0.014464849,2.787230048,Tongchuan,"3(1, 4)"
