city_code,city,name,reduction,prot_interval_50,prot_interval_100,reduction_interval
421100,黄冈市,Huanggang,534,"0.95(0.93, 0.96)","0.95(0.93, 0.96)","534(523, 538)"
420900,孝感市,Xiaogan,490,"0.94(0.92, 0.95)","0.94(0.92, 0.95)","490(478, 495)"
420600,襄阳市,Xiangyang,275,"0.96(0.95, 0.97)","0.96(0.95, 0.97)","275(272, 277)"
421300,随州市,Suizhou,219,"0.96(0.95, 0.97)","0.96(0.96, 0.97)","219(218, 220)"
330300,温州市,Wenzhou,217,"0.98(0.98, 0.99)","0.98(0.98, 0.99)","217(216, 219)"
420800,荆门市,Jingmen,210,"0.96(0.95, 0.96)","0.96(0.95, 0.96)","210(208, 211)"
421000,荆州市,Jingzhou,198,"0.93(0.91, 0.94)","0.93(0.91, 0.94)","198(193, 200)"
420700,鄂州市,Ezhou,177,"0.94(0.92, 0.94)","0.94(0.92, 0.94)","177(173, 178)"
500000,重庆市,Chongqing,173,"0.97(0.96, 0.97)","0.97(0.96, 0.97)","173(172, 174)"
420200,黄石市,Huangshi,157,"0.94(0.92, 0.94)","0.94(0.92, 0.94)","157(155, 159)"
420500,宜昌市,Yichang,157,"0.95(0.94, 0.95)","0.95(0.94, 0.95)","157(155, 158)"
421200,咸宁市,Xianning,152,"0.92(0.89, 0.93)","0.92(0.89, 0.93)","152(148, 154)"
420300,十堰市,Shiyan,142,"0.95(0.95, 0.96)","0.95(0.95, 0.96)","142(141, 143)"
310000,上海市,Shanghai,103,"0.95(0.94, 0.96)","0.95(0.94, 0.96)","103(102, 104)"
110000,北京市,Beijing,100,"0.94(0.94, 0.95)","0.94(0.94, 0.95)","100(99, 101)"
440100,广州市,Guangzhou,95,"0.96(0.95, 0.96)","0.96(0.95, 0.96)","95(94, 95)"
440300,深圳市,Shenzhen,91,"0.95(0.94, 0.96)","0.95(0.94, 0.96)","91(90, 92)"
429004,仙桃市,Xiantao,79,"0.9(0.88, 0.91)","0.9(0.88, 0.91)","79(78, 80)"
330100,杭州市,Hangzhou,75,"0.95(0.94, 0.96)","0.95(0.94, 0.96)","75(74, 76)"
422800,恩施土家族苗族自治州,Enshi,68,"0.91(0.89, 0.92)","0.91(0.89, 0.92)","68(67, 69)"
360100,南昌市,Nanchang,61,"0.94(0.92, 0.95)","0.94(0.92, 0.95)","61(60, 62)"
429006,天门市,Tianmen,60,"0.9(0.88, 0.91)","0.9(0.88, 0.91)","60(59, 61)"
331000,台州市,Taizhou,60,"0.95(0.93, 0.97)","0.95(0.93, 0.97)","60(59, 61)"
510100,成都市,Chengdu,58,"0.93(0.91, 0.94)","0.93(0.91, 0.94)","58(57, 58)"
411300,南阳市,Nanyang,57,"0.93(0.92, 0.94)","0.93(0.91, 0.95)","57(56, 58)"
430100,长沙市,Changsha,54,"0.9(0.88, 0.91)","0.9(0.88, 0.91)","54(53, 55)"
411500,信阳市,Xinyang,42,"0.88(0.86, 0.9)","0.88(0.86, 0.9)","42(41, 43)"
340100,合肥市,Hefei,40,"0.9(0.88, 0.92)","0.9(0.88, 0.93)","40(39, 41)"
410100,郑州市,Zhengzhou,40,"0.89(0.88, 0.91)","0.89(0.87, 0.91)","40(39, 41)"
330200,宁波市,Ningbo,38,"0.92(0.89, 0.95)","0.92(0.89, 0.95)","38(36, 39)"
360400,九江市,Jiujiang,37,"0.9(0.87, 0.92)","0.9(0.87, 0.92)","37(36, 38)"
430500,邵阳市,Shaoyang,33,"0.91(0.88, 0.94)","0.91(0.88, 0.94)","33(32, 34)"
430700,常德市,Changde,33,"0.9(0.88, 0.93)","0.9(0.87, 0.93)","33(32, 35)"
341200,阜阳市,Fuyang,32,"0.9(0.87, 0.93)","0.9(0.87, 0.93)","32(31, 33)"
411600,周口市,Zhoukou,31,"0.89(0.86, 0.92)","0.89(0.86, 0.92)","31(30, 32)"
430600,岳阳市,Yueyang,30,"0.88(0.85, 0.91)","0.88(0.85, 0.91)","30(29, 31)"
