city_code,city,name,reduction,prot_interval_50,prot_interval_100,reduction_interval
330300,温州市,Wenzhou,211.851162,"0.96(0.95, 0.96)","0.96(0.95, 0.96)","212(210, 213)"
421100,黄冈市,Huanggang,190.6454355,"0.34(0.0, 0.47)","0.34(0.01, 0.48)","191(3, 269)"
420600,襄阳市,Xiangyang,172.5213972,"0.6(0.41, 0.68)","0.6(0.41, 0.68)","173(117, 196)"
500000,重庆市,Chongqing,144.1120986,"0.81(0.72, 0.84)","0.81(0.72, 0.84)","144(129, 150)"
421300,随州市,Suizhou,130.2361037,"0.57(0.36, 0.65)","0.57(0.36, 0.66)","130(83, 150)"
420900,孝感市,Xiaogan,128.4369334,"0.25(-0.14, 0.4)","0.25(-0.13, 0.41)","128(-69, 211)"
420800,荆门市,Jingmen,118.6794306,"0.54(0.32, 0.63)","0.54(0.32, 0.63)","119(70, 139)"
420300,十堰市,Shiyan,94.17971631,"0.63(0.46, 0.7)","0.63(0.46, 0.7)","94(69, 105)"
310000,上海市,Shanghai,93.05377578,"0.86(0.82, 0.88)","0.86(0.82, 0.88)","93(88, 95)"
110000,北京市,Beijing,87.74917066,"0.83(0.77, 0.85)","0.83(0.77, 0.85)","88(81, 91)"
420700,鄂州市,Ezhou,87.31289959,"0.46(0.2, 0.56)","0.46(0.2, 0.57)","87(38, 108)"
420500,宜昌市,Yichang,85.7816062,"0.52(0.28, 0.61)","0.52(0.29, 0.61)","86(47, 101)"
440100,广州市,Guangzhou,85.20088057,"0.86(0.82, 0.88)","0.86(0.82, 0.88)","85(81, 87)"
440300,深圳市,Shenzhen,81.25624882,"0.86(0.81, 0.87)","0.86(0.81, 0.88)","81(77, 83)"
330100,杭州市,Hangzhou,71.1781131,"0.9(0.88, 0.91)","0.9(0.88, 0.91)","71(70, 72)"
420200,黄石市,Huangshi,61.80622539,"0.37(0.06, 0.49)","0.37(0.06, 0.5)","62(10, 83)"
331000,台州市,Taizhou,56.88802315,"0.9(0.89, 0.91)","0.9(0.89, 0.92)","57(56, 58)"
