city_code,city,name,increase_num,increase_interval
421100,黄冈市,Huanggang,2361.935506,"2362(1859, 3571)"
420900,孝感市,Xiaogan,2147.436902,"2147(1690, 3247)"
421000,荆州市,Jingzhou,840.6589048,"841(662, 1269)"
429021,神农架林区,Shennongjia,806.3131198,"806(635, 1217)"
421200,咸宁市,Xianning,778.0748989,"778(613, 1174)"
420700,鄂州市,Ezhou,607.1877643,"607(479, 916)"
422800,恩施土家族苗族自治州,Enshi,538.2703174,"538(424, 812)"
420500,宜昌市,Yichang,537.2243706,"537(424, 810)"
420600,襄阳市,Xiangyang,445.4689949,"445(351, 671)"
420200,黄石市,Huangshi,407.9491661,"408(322, 614)"
420800,荆门市,Jingmen,393.4500225,"393(311, 592)"
429004,仙桃市,Xiantao,376.9777592,"377(298, 568)"
420300,十堰市,Shiyan,366.3159387,"366(289, 551)"
421300,随州市,Suizhou,305.6398517,"306(241, 460)"
429006,天门市,Tianmen,253.3520845,"253(200, 381)"
429005,潜江市,Qianjiang,116.8748188,"117(93, 174)"
411500,信阳市,Xinyang,104.9726931,"105(84, 156)"
440300,深圳市,Shenzhen,103.795769,"104(83, 154)"
500000,重庆市,Chongqing,78.33211438,"78(63, 116)"
440100,广州市,Guangzhou,65.88366499,"66(53, 97)"
430100,长沙市,Changsha,63.87921052,"64(52, 94)"
411300,南阳市,Nanyang,62.75236315,"63(51, 92)"
430600,岳阳市,Yueyang,55.41502645,"55(45, 81)"
310000,上海市,Shanghai,54.09101666,"54(44, 79)"
410100,郑州市,Zhengzhou,51.0375855,"51(41, 74)"
360400,九江市,Jiujiang,42.27641933,"42(34, 61)"
441900,东莞市,Dongguan,38.87396609,"39(32, 56)"
710000,花莲县,Hualianxian,37.89008602,"38(31, 55)"
360100,南昌市,Nanchang,37.58078008,"38(31, 54)"
341200,阜阳市,Fuyang,37.24307861,"37(31, 54)"
110000,北京市,Beijing,36.31819612,"36(30, 52)"
411700,驻马店市,Zhumadian,35.4269226,"35(29, 51)"
450500,北海市,Beihai,34.67352731,"35(29, 50)"
411400,商丘市,Shangqiu,34.11910347,"34(28, 49)"
430200,株洲市,Zhuzhou,31.42340018,"31(26, 45)"
411100,漯河市,Luohe,28.65087945,"29(24, 41)"
331000,台州市,Taizhou,28.20959963,"28(23, 40)"
460200,三亚市,Sanya,28.06625512,"28(23, 40)"
320100,南京市,Nanjing,28.00665589,"28(23, 40)"
411600,周口市,Zhoukou,25.46782021,"25(21, 36)"
320500,苏州市,Suzhou,24.97292259,"25(21, 35)"
340800,安庆市,Anqing,24.85339153,"25(21, 35)"
820000,澳门,Aomen,24.65669556,"25(21, 35)"
350200,厦门市,Xiamen,24.29691665,"24(20, 34)"
510100,成都市,Chengdu,23.09700781,"23(19, 32)"
440600,佛山市,Foshan,21.60132828,"22(18, 30)"
360600,鹰潭市,Yingtan,20.9106676,"21(18, 29)"
340100,合肥市,Hefei,20.77972939,"21(17, 29)"
530100,昆明市,Kunming,19.59488226,"20(16, 27)"
469026,昌江黎族自治县,Changjiang,18.78856141,"19(16, 26)"
330100,杭州市,Hangzhou,18.371886,"18(16, 25)"
610900,安康市,Ankang,17.9880435,"18(15, 24)"
430800,张家界市,Zhangjiajie,17.85997567,"18(15, 24)"
430700,常德市,Changde,17.3950149,"17(15, 23)"
610100,西安市,Xi’an,17.31608828,"17(15, 23)"
441300,惠州市,Huizhou,16.38721591,"16(14, 22)"
431000,郴州市,Chenzhou,16.04155094,"16(14, 21)"
469028,陵水黎族自治县,Lingshui,15.35885376,"15(13, 20)"
340200,芜湖市,Wuhu,15.25007412,"15(13, 20)"
350100,福州市,Fuzhou,14.74047443,"15(13, 19)"
530700,丽江市,Lijiang,14.62645293,"15(13, 19)"
