city_code,city,risk,cases
440300,深圳市,19.90322875,425.194664
310000,上海市,17.84010299,381.4406193
320500,苏州市,17.72192963,378.9344402
330100,杭州市,15.84074524,339.0389439
441900,东莞市,13.34846064,286.1834495
110000,北京市,12.10026634,259.7121842
330200,宁波市,11.89348533,255.3268453
330300,温州市,9.636040641,207.4517531
330700,金华市,9.192538546,198.0461168
440100,广州市,8.387079517,180.9642253
410100,郑州市,7.303180319,157.9772727
440600,佛山市,6.505518813,141.0607483
430100,长沙市,6.268964936,136.0439969
320200,无锡市,6.153507593,133.5954182
330400,嘉兴市,5.822008316,126.5650983
320100,南京市,5.681028114,123.5752398
331000,台州市,5.225005961,113.9040825
442000,中山市,4.473260378,97.96132682
510100,成都市,4.061801334,89.23524824
320400,常州市,4.03812546,88.73313865
120000,天津市,3.602330285,79.49094801
330600,绍兴市,3.557975134,78.55027958
350500,泉州市,3.41692869,75.55901624
350200,厦门市,3.384577373,74.8729209
350100,福州市,2.664138137,59.5940992
340100,合肥市,2.518863132,56.51315804
330500,湖州市,2.516387761,56.46066125
370200,青岛市,2.372600088,53.4112629
360100,南昌市,1.999409227,45.4967625
610100,西安市,1.865238877,42.65132495
131000,廊坊市,1.503659276,34.98307207
530100,昆明市,1.133127048,27.124955
460200,三亚市,1.05237721,25.41244088
320600,南通市,0.997293132,24.24423713
321100,镇江市,0.931695148,22.85305818
370100,济南市,0.900258292,22.1863564
640100,银川市,0.755553162,19.11750096
330900,舟山市,0.601031723,15.84046468
210200,大连市,0.578884338,15.37077073
370600,烟台市,0.523136943,14.18849961
441300,惠州市,0.439861782,12.4224293
540300,昌都市,0.422716238,12.05881265
371000,威海市,0.401675841,11.61259532
440400,珠海市,0.352179196,10.56288788
520100,贵阳市,0.248513491,8.364382111
650100,乌鲁木齐市,0.246952067,8.331267979
532800,西双版纳傣族自治州,0.241896828,8.22405826
370500,东营市,0.241157659,8.208382218
210100,沈阳市,0.22418535,7.848439454
150600,鄂尔多斯市,0.212683693,7.604516371
540100,拉萨市,0.171657849,6.734454714
150100,呼和浩特市,0.155462889,6.3909977
140100,太原市,0.148711673,6.247820295
230600,大庆市,0.139670657,6.056081608
620100,兰州市,0.131168359,5.875767863
650200,克拉玛依市,0.09424753,5.09276392
652800,巴音郭楞蒙古自治州,0.089616763,4.994556248
653100,喀什地区,0.084378571,4.883466501
152900,阿拉善盟,0.08418412,4.879342655
652900,阿克苏地区,0.078058771,4.749438411
540400,林芝市,0.074033993,4.664082343
230900,七台河市,0.073038669,4.642973863
653200,和田地区,0.05978989,4.361998419
370300,淄博市,0.05796851,4.323371224
370700,潍坊市,0.052925809,4.216427399
130100,石家庄市,0.052861354,4.215060457
419001,济源市,0.045944281,4.068365611
150300,乌海市,0.045870729,4.06680575
150700,呼伦贝尔市,0.045304847,4.054804725
652300,昌吉回族自治州,0.044667225,4.041282256
513300,甘孜藏族自治州,0.042518851,3.995720303
211100,盘锦市,0.038465116,3.909750121
659001,石河子市,0.031209092,3.755866906
321000,扬州市,0.028329759,3.694803027
533100,德宏傣族景颇族自治州,0.026864223,3.663722454
533300,怒江傈僳族自治州,0.02512386,3.626813458
232700,大兴安岭地区,0.024443549,3.612385664
469028,陵水黎族自治县,0.018021606,3.476191354
230400,鹤岗市,0.017088142,3.456394786
540200,日喀则市,0.015687807,3.426696978
150200,包头市,0.013891837,3.388608664
230300,鸡西市,0.01366413,3.383779534
460300,三沙市,0.01236335,3.356193049
510400,攀枝花市,0.01217202,3.352135402
540500,山南市,0.0117587,3.343369846
152500,锡林郭勒盟,0.011214149,3.331821213
654300,阿勒泰地区,0.00846731,3.273567211
540600,那曲市,0.007014538,3.242757339
659003,图木舒克市,0.004556053,3.190618658
640200,石嘴山市,0.004523125,3.189920329
542500,阿里地区,0.004336428,3.185960909
659002,阿拉尔市,0.002569665,3.148492037
659009,昆玉市,0.002241677,3.141536186
653000,克孜勒苏柯尔克孜自治州,0.000783146,3.11060416
632800,海西蒙古族藏族自治州,0.000615607,3.107051059
659005,北屯市,0.000447263,3.103480869
659006,铁门关市,-0.001258077,3.067314618
450600,防城港市,-0.002086642,3.049742714
659007,双河市,-0.002903358,3.032422092
623000,甘南藏族自治州,-0.003268173,3.024685223
632500,海南藏族自治州,-0.004643284,2.995522337
632200,海北藏族自治州,-0.005842845,2.97008247
371600,滨州市,-0.006539343,2.95531139
632600,果洛藏族自治州,-0.006609891,2.953815244
632300,黄南藏族自治州,-0.006709665,2.951699259
130200,唐山市,-0.007803418,2.928503343
530400,玉溪市,-0.010886908,2.863109769
150800,巴彦淖尔市,-0.012610063,2.826565708
